priority,search_intent_es,landing_url,target_audience,primary_cta,gsc_index_status,impressions_28d,clicks_28d,qualified_whatsapp_leads_14d,orders_paid_14d,revenue_mxn_14d,owner_notes
P0,refacciones para celular mayoreo mexico,https://haode.com.mx/refacciones-celulares-mayoreo-mexico/,"Talleres, tiendas y distribuidores",Enviar lista por WhatsApp,,,,,,,
P0,pantallas samsung mayoreo mexico,https://haode.com.mx/pantallas-samsung-mayoreo-mexico/,"Técnicos, talleres y distribuidores",Cotizar modelo y cantidad,,,,,,,
P0,pantallas iphone 11 xr mayoreo,https://haode.com.mx/pantallas-iphone-11-xr-mayoreo/,"Técnicos y talleres",Comparar versión y cotizar,,,,,,,
P0,pantallas premium iphone samsung fabrica,https://haode.com.mx/pantallas-premium-iphone-samsung-fabrica/,"Talleres y compradores de volumen",Enviar lista por WhatsApp,,,,,,,
P0,fundas para celular mayoreo,https://haode.com.mx/categoria/fundas/,"Tiendas y distribuidores",Ver catálogo y cotizar cantidad,,,,,,,
P1,pantallas iphone incell mexico,https://haode.com.mx/categoria/iphone-incell/,"Técnicos y talleres",Elegir modelo y cotizar,,,,,,,
P1,pantallas iphone oled mexico,https://haode.com.mx/categoria/iphone-oled/,"Técnicos y talleres",Elegir modelo y cotizar,,,,,,,
P1,pantallas samsung incell mexico,https://haode.com.mx/categoria/samsung-incell/,"Técnicos y talleres",Elegir modelo y cotizar,,,,,,,
P1,pantallas samsung oled mexico,https://haode.com.mx/categoria/samsung-oled/,"Técnicos y talleres",Elegir modelo y cotizar,,,,,,,
P1,maquina cortadora de micas mexico,https://haode.com.mx/categoria/maquinas-de-hidrogel/,"Tiendas de accesorios",Consultar X200T y ciudad,,,,,,,
P1,productos ai para tienda mexico,https://haode.com.mx/productos-ai/,"Tiendas y revendedores",Consultar modelos disponibles,,,,,,,
P1,distribuidor refacciones celular mexico,https://haode.com.mx/distribuidores/,"Distribuidores y compradores recurrentes",Enviar ciudad y volumen mensual,,,,,,,
