priority,search_intent_es,landing_url,target_audience,primary_cta,page_status,sitemap_status,tracking_status,exposure_pack_status,gsc_index_status,impressions_28d,clicks_28d,qualified_whatsapp_leads_14d,orders_paid_14d,revenue_mxn_14d,owner_notes
P0,refacciones para celular mayoreo mexico,https://haode.com.mx/refacciones-celulares-mayoreo-mexico/,"Talleres, tiendas y distribuidores",Enviar lista por WhatsApp,ready,ready,ready,covered,,,,,,,
P0,pantallas samsung mayoreo mexico,https://haode.com.mx/pantallas-samsung-mayoreo-mexico/,"Tecnicos, talleres y distribuidores",Cotizar modelo y cantidad,ready,ready,ready,covered,,,,,,,
P0,pantallas iphone 11 xr mayoreo,https://haode.com.mx/pantallas-iphone-11-xr-mayoreo/,Tecnicos y talleres,Comparar version y cotizar,ready,ready,ready,covered,,,,,,,
P0,pantallas premium iphone samsung fabrica,https://haode.com.mx/pantallas-premium-iphone-samsung-fabrica/,Talleres y compradores de volumen,Enviar lista por WhatsApp,ready,ready,ready,covered,,,,,,,
P0,fundas para celular mayoreo,https://haode.com.mx/fundas-celular-mayoreo-mexico/,Tiendas y distribuidores,Ver catalogo y cotizar cantidad,ready,ready,ready,covered,,,,,,,
P1,pantallas iphone incell mexico,https://haode.com.mx/pantallas-iphone-incell-mayoreo-mexico/,Tecnicos y talleres,Elegir modelo y cotizar,ready,ready,ready,covered,,,,,,,
P1,pantallas iphone oled mexico,https://haode.com.mx/pantallas-iphone-oled-mayoreo-mexico/,Tecnicos y talleres,Elegir modelo y cotizar,ready,ready,ready,covered,,,,,,,
P1,pantallas samsung incell mexico,https://haode.com.mx/pantallas-samsung-incell-mayoreo-mexico/,Tecnicos y talleres,Elegir modelo y cotizar,ready,ready,ready,covered,,,,,,,
P1,pantallas samsung z flip z fold original mexico,https://haode.com.mx/pantallas-samsung-zflip-zfold-original-mexico/,Tecnicos y talleres,"Confirmar modelo, version y cantidad",ready,ready,ready,covered,,,,,,,
P1,micas hidrogel mayoreo mexico,https://haode.com.mx/micas-hidrogel-mayoreo-mexico/,Tiendas de accesorios,Consultar producto y ciudad,ready,ready,ready,covered,,,,,,,
P1,productos ai para tienda mexico,https://haode.com.mx/productos-ai/,Tiendas y revendedores,Consultar modelos disponibles,ready,ready,ready,covered,,,,,,,
P1,distribuidor refacciones celular mexico,https://haode.com.mx/distribuidores/,Distribuidores y compradores recurrentes,Enviar ciudad y volumen mensual,ready,ready,ready,covered,,,,,,,
