"scope","issue_type","sku_or_slug","name","category","current_reference","owner_decision","confirmed_public_price","confirmed_wholesale_price","confirmed_box_price","confirmed_image","notes"
"warning","website_only","iphone-oled-12mini","Pantalla para iPhone 12 mini","iphone-oled","全部价格待确认","","","","","assets/products/iphone-oled/12mini/main.jpg",""
"warning","website_only","iphone-oled-13mini","Pantalla para iPhone 13 mini","iphone-oled","全部价格待确认","","","","","assets/products/iphone-oled/13mini/main.jpg",""
"warning","website_only","iphone-oled-15plus","Pantalla para iPhone 15 Plus","iphone-oled","全部价格待确认","","","","","assets/products/iphone-oled/15plus/main.jpg",""
"warning","website_only","iphone-oled-16","Pantalla para iPhone 16","iphone-oled","全部价格待确认","","","","","assets/products/iphone-oled/16/main.jpg",""
"warning","website_only","iphone-oled-16plus","Pantalla para iPhone 16 Plus","iphone-oled","全部价格待确认","","","","","assets/products/iphone-oled/16plus/main.jpg",""
"warning","website_only","samsung-oled-note-9","Pantalla para Samsung Note 9","samsung-oled","全部价格待确认","","","","","assets/products/samsung-oled/note-9/main.jpg",""
"warning","website_only","samsung-oled-s20","Pantalla para Samsung S20","samsung-oled","全部价格待确认","","","","","assets/products/samsung-oled/s20/main.jpg",""
"warning","website_only","samsung-oled-s20-ultra","Pantalla para Samsung S20 Ultra","samsung-oled","全部价格待确认","","","","","assets/products/samsung-oled/s20-ultra/main.jpg",""
"warning","website_only","samsung-oled-s21","Pantalla para Samsung S21","samsung-oled","全部价格待确认","","","","","assets/products/samsung-oled/s21/main.jpg",""
"warning","website_only","samsung-oled-s21-plus","Pantalla para Samsung S21 Plus","samsung-oled","全部价格待确认","","","","","assets/products/samsung-oled/s21-plus/main.jpg",""
"warning","website_only","samsung-oled-s22-plus","Pantalla para Samsung S22 Plus","samsung-oled","全部价格待确认","","","","","assets/products/samsung-oled/s22-plus/main.jpg",""
"warning","website_only","samsung-oled-s23-plus","Pantalla para Samsung S23 Plus","samsung-oled","全部价格待确认","","","","","assets/products/samsung-oled/s23-plus/main.jpg",""
"warning","website_only","samsung-oled-s24-plus","Pantalla para Samsung S24 Plus","samsung-oled","全部价格待确认","","","","","assets/products/samsung-oled/s24-plus/main.jpg",""
"warning","website_only","samsung-oled-s9-plus","Pantalla para Samsung S9 Plus","samsung-oled","全部价格待确认","","","","","assets/products/samsung-oled/s9-plus/main.jpg",""
"warning","app_only","samsung-incell-s10-lite","Pantalla para Samsung S10 Lite","Pantallas Samsung INCELL","APP public 450; wholesale 420","","","","","/assets/products/samsung-incell/main.jpg",""
"warning","app_only","samsung-incell-note-10-lite","Pantalla para Samsung Note 10 Lite","Pantallas Samsung INCELL","APP public 650; wholesale 640","","","","","/assets/products/samsung-incell/main.jpg",""
"warning","app_only","samsung-incell-note-20","Pantalla para Samsung Note 20","Pantallas Samsung INCELL","APP public 650; wholesale 620","","","","","/assets/products/samsung-incell/main.jpg",""
"warning","app_only","samsung-original-s21-ultra","Pantalla para Samsung S21 Ultra","Pantallas Samsung Original","APP public 2500; wholesale 2400","","","","","/assets/products/samsung-original/s21-ultra/main.jpg",""
"warning","app_only","samsung-original-s22-plus","Pantalla para Samsung S22 Plus","Pantallas Samsung Original","APP public 1700; wholesale 1650","","","","","/assets/products/samsung-original/s22-plus/main.png",""
"warning","app_only","x200t-cortadora-micas","HAODE X200T Cortadora Inteligente de Micas","Máquinas de Mica","APP public 6800; wholesale 6500","","","","","/assets/products/cut-machine/x200t/main.jpg",""
"warning","app_only","samsung-original-s22-ultra","Pantalla para Samsung S22 Ultra","Pantallas Samsung Original","APP public 3000; wholesale 2900","","","","","/assets/products/samsung-original/s22-ultra/main.jpg",""
"warning","app_only","samsung-original-s23-plus","Pantalla para Samsung S23 Plus","Pantallas Samsung Original","APP public 1800; wholesale 1700","","","","","/assets/products/samsung-original/s23-plus/main.png",""
"warning","app_only","samsung-original-s23-ultra","Pantalla para Samsung S23 Ultra","Pantallas Samsung Original","APP public 3300; wholesale 3200","","","","","/assets/products/samsung-original/s23-ultra/main.jpg",""
"warning","app_only","samsung-original-s24-ultra","Pantalla para Samsung S24 Ultra","Pantallas Samsung Original","APP public 3500; wholesale 3400","","","","","/assets/products/samsung-original/s24-ultra/main.png",""
"warning","app_only","samsung-original-s25-ultra","Pantalla para Samsung S25 Ultra","Pantallas Samsung Original","APP public 3700; wholesale 3600","","","","","/assets/products/samsung-original/s25-ultra/main.png",""
"warning","app_only","samsung-original-note-20-ultra","Pantalla para Samsung Note 20 Ultra","Pantallas Samsung Original","APP public 3500; wholesale 3400","","","","","/assets/products/placeholder.svg",""
"warning","app_only","samsung-original-z-flip3","Pantalla para Samsung Z Flip3","Pantallas Samsung Original","APP public 3300; wholesale 3200","","","","","/assets/products/samsung-original/z-flip3/main.png",""
"warning","app_only","samsung-original-z-flip4","Pantalla para Samsung Z Flip4","Pantallas Samsung Original","APP public 3600; wholesale 3500","","","","","/assets/products/samsung-original/z-flip4/main.png",""
"warning","app_only","samsung-original-z-flip5","Pantalla para Samsung Z Flip5","Pantallas Samsung Original","APP public 4000; wholesale 3900","","","","","/assets/products/samsung-original/z-flip5/main.png",""
"warning","app_only","samsung-original-z-flip6","Pantalla para Samsung Z Flip6","Pantallas Samsung Original","APP public 4500; wholesale 4400","","","","","/assets/products/samsung-original/z-flip6/main.png",""
"warning","app_only","samsung-original-z-flip7","Pantalla Samsung Z Flip7","Pantallas Samsung Original","APP public 5800; wholesale 5600","","","","","/assets/products/samsung-original/z-flip7/main.png",""
"warning","app_only","samsung-original-z-fold3","Pantalla Samsung Z Fold3","Pantallas Samsung Original","APP public 4500; wholesale 4400","","","","","/assets/products/samsung-original/z-fold3/main.png",""
"warning","app_only","samsung-original-z-fold4","Pantalla Samsung Z Fold4","Pantallas Samsung Original","APP public 6000; wholesale 5900","","","","","/assets/products/samsung-original/z-fold4/main.png",""
"warning","app_only","samsung-original-z-fold5","Pantalla Samsung Z Fold5","Pantallas Samsung Original","APP public 7500; wholesale 7400","","","","","/assets/products/samsung-original/z-fold5/main.png",""
"warning","app_only","samsung-original-z-fold6","Pantalla Samsung Z Fold6","Pantallas Samsung Original","APP public 9800; wholesale 9700","","","","","/assets/products/samsung-original/z-fold6/main.png",""
"warning","standalone_static_page","iphone-oled-11","","","https://haode.com.mx/producto/iphone-oled-11/","","","","","",""
"warning","standalone_static_page","iphone-oled-x","","","https://haode.com.mx/producto/iphone-oled-x/","","","","","",""
"warning","standalone_static_page","x200t-cortadora-inteligente-de-micas","","","https://haode.com.mx/producto/x200t-cortadora-inteligente-de-micas/","","","","","",""
"report","price_confirmation","iphone-oled-12mini","Pantalla para iPhone 12 mini","iphone-oled","全部价格待确认","","","","","",""
"report","price_confirmation","iphone-oled-13mini","Pantalla para iPhone 13 mini","iphone-oled","全部价格待确认","","","","","",""
"report","price_confirmation","iphone-oled-15plus","Pantalla para iPhone 15 Plus","iphone-oled","全部价格待确认","","","","","",""
"report","price_confirmation","iphone-oled-16","Pantalla para iPhone 16","iphone-oled","全部价格待确认","","","","","",""
"report","price_confirmation","iphone-oled-16plus","Pantalla para iPhone 16 Plus","iphone-oled","全部价格待确认","","","","","",""
"report","price_confirmation","samsung-oled-note-10-plus","Pantalla para Samsung Note 10 Plus","samsung-oled","部分价格待确认","","","","","",""
"report","price_confirmation","samsung-oled-note-9","Pantalla para Samsung Note 9","samsung-oled","全部价格待确认","","","","","",""
"report","price_confirmation","samsung-oled-s20","Pantalla para Samsung S20","samsung-oled","全部价格待确认","","","","","",""
"report","price_confirmation","samsung-oled-s20-ultra","Pantalla para Samsung S20 Ultra","samsung-oled","全部价格待确认","","","","","",""
"report","price_confirmation","samsung-oled-s21","Pantalla para Samsung S21","samsung-oled","全部价格待确认","","","","","",""
"report","price_confirmation","samsung-oled-s21-plus","Pantalla para Samsung S21 Plus","samsung-oled","全部价格待确认","","","","","",""
"report","price_confirmation","samsung-oled-s22-plus","Pantalla para Samsung S22 Plus","samsung-oled","全部价格待确认","","","","","",""
"report","price_confirmation","samsung-oled-s23-plus","Pantalla para Samsung S23 Plus","samsung-oled","全部价格待确认","","","","","",""
"report","price_confirmation","samsung-oled-s24-plus","Pantalla para Samsung S24 Plus","samsung-oled","全部价格待确认","","","","","",""
"report","price_confirmation","samsung-oled-s9-plus","Pantalla para Samsung S9 Plus","samsung-oled","全部价格待确认","","","","","",""
"report","placeholder_image","samsung-original-note-20-ultra","Pantalla para Samsung Note 20 Ultra","Pantallas Samsung Original","/assets/products/placeholder.svg","","","","","",""
