type,slug,name,category,current_web_price,current_app_price,master_or_excel_reference,issue,boss_public_price,boss_wholesale_price,boss_box_price,boss_decision,note
missing_price,iphone-oled-12mini,Pantalla para iPhone 12 mini,Pantallas iPhone OLED,Consultar / Consultar,无,未匹配,缺少公开价/批发价/箱价；未确认前禁止 publish-products,,,,,不要猜价；不要用 Excel 自动覆盖；不要从相似型号推算
missing_price,iphone-oled-13mini,Pantalla para iPhone 13 mini,Pantallas iPhone OLED,Consultar / Consultar,无,近似参考 730 / 720 (iPhone 13 OLED PREMIUM),缺少公开价/批发价/箱价；未确认前禁止 publish-products,,,,,不要猜价；不要用 Excel 自动覆盖；不要从相似型号推算
missing_price,iphone-oled-15plus,Pantalla para iPhone 15 Plus,Pantallas iPhone OLED,Consultar / Consultar,无,近似参考 1200 / 1150 (iPhone 15 SOFT OLED PREMIUM),缺少公开价/批发价/箱价；未确认前禁止 publish-products,,,,,不要猜价；不要用 Excel 自动覆盖；不要从相似型号推算
missing_price,iphone-oled-16,Pantalla para iPhone 16,Pantallas iPhone OLED,Consultar / Consultar,无,未匹配,缺少公开价/批发价/箱价；未确认前禁止 publish-products,,,,,不要猜价；不要用 Excel 自动覆盖；不要从相似型号推算
missing_price,iphone-oled-16plus,Pantalla para iPhone 16 Plus,Pantallas iPhone OLED,Consultar / Consultar,无,未匹配,缺少公开价/批发价/箱价；未确认前禁止 publish-products,,,,,不要猜价；不要用 Excel 自动覆盖；不要从相似型号推算
missing_price,samsung-oled-note-9,Pantalla para Samsung Note 9,Pantallas Samsung OLED,Consultar / Consultar,无,未匹配,缺少公开价/批发价/箱价；未确认前禁止 publish-products,,,,,不要猜价；不要用 Excel 自动覆盖；不要从相似型号推算
missing_price,samsung-oled-s20,Pantalla para Samsung S20,Pantallas Samsung OLED,Consultar / Consultar,无,近似参考 1100 / 1050 (Samsung S20 PLUS OLED PREMIUM),缺少公开价/批发价/箱价；未确认前禁止 publish-products,,,,,不要猜价；不要用 Excel 自动覆盖；不要从相似型号推算
missing_price,samsung-oled-s20-ultra,Pantalla para Samsung S20 Ultra,Pantallas Samsung OLED,Consultar / Consultar,无,未匹配,缺少公开价/批发价/箱价；未确认前禁止 publish-products,,,,,不要猜价；不要用 Excel 自动覆盖；不要从相似型号推算
missing_price,samsung-oled-s21,Pantalla para Samsung S21,Pantallas Samsung OLED,Consultar / Consultar,无,近似参考 1600 / 1550 (Samsung S21 Ultra OLED PREMIUM),缺少公开价/批发价/箱价；未确认前禁止 publish-products,,,,,不要猜价；不要用 Excel 自动覆盖；不要从相似型号推算
missing_price,samsung-oled-s21-plus,Pantalla para Samsung S21 Plus,Pantallas Samsung OLED,Consultar / Consultar,无,未匹配,缺少公开价/批发价/箱价；未确认前禁止 publish-products,,,,,不要猜价；不要用 Excel 自动覆盖；不要从相似型号推算
