section,page,row,model,quality,brand,pdf_prices,note,pdf_source
iphone,1,5,X,INCELL FHD,HL,$180 MXN / $175 MXN / $170 MXN / $165 MXN / $155 MXN,Tamaño original,p1 r5: X | INCELL FHD
iphone,1,6,XS,INCELL FHD,HL,$180 MXN / $175 MXN / $170 MXN / $165 MXN / $155 MXN,Tamaño original,p1 r6: XS | INCELL FHD
iphone,1,7,XR Bolsa Protectora,INCELL FHD,HL,$160 MXN / $155 MXN / $150 MXN / $145 MXN / $140 MXN,Tamaño original,p1 r7: XR Bolsa Protectora | INCELL FHD
iphone,1,8,XR,INCELL FHD,HL,$180 MXN / $175 MXN / $170 MXN / $165 MXN / $155 MXN,Tamaño original,p1 r8: XR | INCELL FHD
iphone,1,9,11 Bolsa Protectora,INCELL FHD,HL,$160 MXN / $155 MXN / $150 MXN / $145 MXN / $140 MXN,Tamaño original,p1 r9: 11 Bolsa Protectora | INCELL FHD
iphone,1,10,11,INCELL FHD,HL,$180 MXN / $175 MXN / $170 MXN / $165 MXN / $155 MXN,Tamaño original,p1 r10: 11 | INCELL FHD
iphone,1,11,11PRO,INCELL FHD,HL,$200 MXN / $190 MXN / $185 MXN / $180 MXN / $175 MXN,Tamaño original,p1 r11: 11PRO | INCELL FHD
iphone,1,12,XS MAX,INCELL FHD,HL,$200 MXN / $190 MXN / $185 MXN / $180 MXN / $175 MXN,Tamaño original,p1 r12: XS MAX | INCELL FHD
iphone,1,13,XS MAX,OLED PREMIUM,HL,$580 MXN / $570 MXN / $560 MXN / $550 MXN / $540 MXN,Tamaño original,p1 r13: XS MAX | OLED PREMIUM
iphone,1,14,11PRO MAX,INCELL FHD,HL,$220 MXN / $210 MXN / $200 MXN / $195 MXN / $190 MXN,Tamaño original,p1 r14: 11PRO MAX | INCELL FHD
iphone,1,15,11PRO MAX,OLED PREMIUM,HL,$600 MXN / $590 MXN / $580 MXN / $550 MXN / $535 MXN,Tamaño original,p1 r15: 11PRO MAX | OLED PREMIUM
iphone,1,16,12mini,INCELL FHD,HL,$230 MXN / $220 MXN / $210 MXN / $200 MXN / $195 MXN,Tamaño original,p1 r16: 12mini | INCELL FHD
iphone,1,17,12/12PRO,INCELL FHD,HL,$220 MXN / $210 MXN / $200 MXN / $195 MXN / $190 MXN,Tamaño original,p1 r17: 12/12PRO | INCELL FHD
iphone,1,18,12/12PRO,OLED PREMIUM,HL,$650 MXN / $640 MXN / $630 MXN / $615 MXN / $600 MXN,Tamaño original,p1 r18: 12/12PRO | OLED PREMIUM
iphone,1,19,12PRO MAX,INCELL FHD,HL,$250 MXN / $240 MXN / $235 MXN / $230 MXN / $220 MXN,Tamaño original,p1 r19: 12PRO MAX | INCELL FHD
iphone,1,20,12PRO MAX,OLED PREMIUM,HL,$700 MXN / $680 MXN / $650 MXN / $630 MXN / $600 MXN,Tamaño original,p1 r20: 12PRO MAX | OLED PREMIUM
iphone,1,21,13 mini,INCELL FHD,HL,$260 MXN / $250 MXN / $245 MXN / $240 MXN / $235 MXN,Tamaño original,p1 r21: 13 mini | INCELL FHD
iphone,1,22,13,INCELL FHD,HL,$250 MXN / $245 MXN / $240 MXN / $235 MXN / $230 MXN,Tamaño original,p1 r22: 13 | INCELL FHD
iphone,1,23,13,OLED PREMIUM,HL,$730 MXN / $700 MXN / $680 MXN / $650 MXN / $600 MXN,Tamaño original,p1 r23: 13 | OLED PREMIUM
iphone,1,24,13PRO,INCELL FHD,HL,$300 MXN / $290 MXN / $285 MXN / $280 MXN / $275 MXN,Tamaño original,p1 r24: 13PRO | INCELL FHD
iphone,1,25,13PRO,OLED PREMIUM,HL,$780 MXN / $760 MXN / $750 MXN / $730 MXN / $700 MXN,Tamaño original,p1 r25: 13PRO | OLED PREMIUM
iphone,1,26,13PRO MAX,INCELL FHD,HL,$350 MXN / $340 MXN / $335 MXN / $330 MXN / $325 MXN,Tamaño original,p1 r26: 13PRO MAX | INCELL FHD
iphone,1,27,13PRO MAX,OLED PREMIUM,HL,$800 MXN / $780 MXN / $760 MXN / $750 MXN / $700 MXN,Tamaño original,p1 r27: 13PRO MAX | OLED PREMIUM
iphone,1,28,14,INCELL FHD,HL,$260 MXN / $250 MXN / $245 MXN / $240 MXN / $230 MXN,Tamaño original,p1 r28: 14 | INCELL FHD
iphone,1,29,14,OLED PREMIUM,HL,$700 MXN / $680 MXN / $650 MXN / $630 MXN / $600 MXN,Tamaño original,p1 r29: 14 | OLED PREMIUM
iphone,1,30,14,SOFT OLED PREMIUM,HL,"$1,000 MXN / $950 MXN / $900 MXN / $850 MXN / $800 MXN",Tamaño original,p1 r30: 14 | SOFT OLED PREMIUM
iphone,1,31,14 plus,INCELL FHD,HL,$300 MXN / $290 MXN / $280 MXN / $275 MXN / $265 MXN,Tamaño original,p1 r31: 14 plus | INCELL FHD
iphone,1,32,14 plus,OLED PREMIUM,HL,$900 MXN / $880 MXN / $850 MXN / $830 MXN / $800 MXN,Tamaño original,p1 r32: 14 plus | OLED PREMIUM
iphone,1,33,14 plus,SOFT OLED PREMIUM,HL,"$1,200 MXN / $1,150 MXN / $1,100 MXN / $1,050 MXN / $1,000 MXN",Tamaño original,p1 r33: 14 plus | SOFT OLED PREMIUM
iphone,1,34,14PRO,INCELL FHD,HL,$350 MXN / $340 MXN / $330 MXN / $320 MXN / $310 MXN,Tamaño original,p1 r34: 14PRO | INCELL FHD
iphone,1,35,14PRO,SOFT OLED PREMIUM,HL,"$1,200 MXN / $1,150 MXN / $1,100 MXN / $1,050 MXN / $1,000 MXN",Tamaño original,p1 r35: 14PRO | SOFT OLED PREMIUM
iphone,1,36,14PRO MAX,INCELL FHD,HL,$380 MXN / $350 MXN / $340 MXN / $330 MXN / $310 MXN,Tamaño original,p1 r36: 14PRO MAX | INCELL FHD
iphone,1,37,14PRO MAX,OLED PREMIUM,HL,"$1,000 MXN / $950 MXN / $900 MXN / $850 MXN / $800 MXN",Tamaño original,p1 r37: 14PRO MAX | OLED PREMIUM
iphone,1,38,15,INCELL FHD,HL,$300 MXN / $290 MXN / $285 MXN / $280 MXN / $275 MXN,Tamaño original,p1 r38: 15 | INCELL FHD
iphone,1,39,15,SOFT OLED PREMIUM,HL,"$1,200 MXN / $1,150 MXN / $1,100 MXN / $1,050 MXN / $1,000 MXN",Tamaño original,p1 r39: 15 | SOFT OLED PREMIUM
iphone,1,40,15 plus,INCELL FHD,HL,$330 MXN / $310 MXN / $300 MXN / $290 MXN / $275 MXN,Tamaño original,p1 r40: 15 plus | INCELL FHD
iphone,1,41,15PRO,INCELL FHD,HL,$350 MXN / $340 MXN / $335 MXN / $330 MXN / $320 MXN,Tamaño original,p1 r41: 15PRO | INCELL FHD
iphone,1,42,15PRO,SOFT OLED PREMIUM,HL,"$1,300 MXN / $1,250 MXN / $1,200 MXN / $1,150 MXN / $1,100 MXN",Tamaño original,p1 r42: 15PRO | SOFT OLED PREMIUM
iphone,1,43,15PRO MAX,INCELL FHD,HL,$400 MXN / $380 MXN / $370 MXN / $350 MXN / $330 MXN,Tamaño original,p1 r43: 15PRO MAX | INCELL FHD
iphone,1,44,15PRO MAX,OLED PREMIUM,HL,"$1,200 MXN / $1,100 MXN / $1,000 MXN / $900 MXN / $850 MXN",Tamaño original,p1 r44: 15PRO MAX | OLED PREMIUM
iphone,1,45,16,INCELL FHD,HL,$400 MXN / $380 MXN / $350 MXN / $330 MXN / $320 MXN,Tamaño original,p1 r45: 16 | INCELL FHD
iphone,1,46,16E,INCELL FHD,HL,$400 MXN / $380 MXN / $350 MXN / $330 MXN / $320 MXN,Tamaño original,p1 r46: 16E | INCELL FHD
iphone,1,47,16E,OLED PREMIUM,HL,$750 MXN / $720 MXN / $700 MXN / $670 MXN / $650 MXN,Tamaño original,p1 r47: 16E | OLED PREMIUM
iphone,1,48,16PLUS,INCELL FHD,HL,$400 MXN / $380 MXN / $360 MXN / $350 MXN / $330 MXN,Tamaño original,p1 r48: 16PLUS | INCELL FHD
iphone,1,49,16PRO,INCELL FHD,HL,$700 MXN / $680 MXN / $660 MXN / $650 MXN / $620 MXN,Tamaño original,p1 r49: 16PRO | INCELL FHD
iphone,1,50,16PRO,OLED PREMIUM,HL,"$1,300 MXN / $1,250 MXN / $1,200 MXN / $1,150 MXN / $1,100 MXN",Tamaño original,p1 r50: 16PRO | OLED PREMIUM
iphone,1,51,16 PROMAX,OLED PREMIUM,HL,"$1,400 MXN / $1,350 MXN / $1,300 MXN / $1,250 MXN / $1,200 MXN",Tamaño original,p1 r51: 16 PROMAX | OLED PREMIUM
iphone,1,52,16 PROMAX,SOFT OLED PREMIUM,HL,"$2,000 MXN / $1,950 MXN / $1,900 MXN / $1,850 MXN / $1,800 MXN",Tamaño original,p1 r52: 16 PROMAX | SOFT OLED PREMIUM
iphone,1,53,16 PROMAX,INCELL FHD,HL,$750 MXN / $730 MXN / $700 MXN / $680 MXN / $650 MXN,Tamaño original,p1 r53: 16 PROMAX | INCELL FHD
iphone,1,54,17,INCELL FHD,HL,"$1,000 MXN / $950 MXN / $920 MXN / $900 MXN / $850 MXN",Tamaño original,p1 r54: 17 | INCELL FHD
iphone,1,55,17PRO,INCELL FHD,HL,$850 MXN / $800 MXN / $755 MXN / $750 MXN / $700 MXN,Tamaño original,p1 r55: 17PRO | INCELL FHD
iphone,1,56,17 AIR,INCELL FHD,HL,"$2,500 MXN / $2,400 MXN / $2,300 MXN / $2,200 MXN / $2,100 MXN",Tamaño original,p1 r56: 17 AIR | INCELL FHD
iphone,1,57,17E,INCELL FHD,HL,$850 MXN / $800 MXN / $750 MXN / $700 MXN / $650 MXN,Tamaño original,p1 r57: 17E | INCELL FHD
iphone,1,58,17 PROMAX,INCELL FHD,HL,$900 MXN / $850 MXN / $805 MXN / $800 MXN / $750 MXN,Tamaño original,p1 r58: 17 PROMAX | INCELL FHD
iphone-diagnostica,1,62,XSMAX,DIAGNOTICO HARD OLED,HAODE,"$1,000 MXN / $950 MXN / $900 MXN / $850 MXN / $800 MXN",Tamaño original,p1 r62: XSMAX | DIAGNOTICO HARD OLED
iphone-diagnostica,1,63,11PROMAX,DIAGNOTICO HARD OLED,HAODE,"$1,000 MXN / $950 MXN / $900 MXN / $850 MXN / $800 MXN",Tamaño original,p1 r63: 11PROMAX | DIAGNOTICO HARD OLED
iphone-diagnostica,1,64,12/12PRO,DIAGNOTICO HARD OLED,HAODE,"$1,000 MXN / $950 MXN / $900 MXN / $850 MXN / $800 MXN",Tamaño original,p1 r64: 12/12PRO | DIAGNOTICO HARD OLED
iphone-diagnostica,1,65,12PROMAX,DIAGNOTICO HARD OLED,HAODE,"$1,200 MXN / $1,050 MXN / $1,100 MXN / $1,050 MXN / $1,000 MXN",Tamaño original,p1 r65: 12PROMAX | DIAGNOTICO HARD OLED
iphone-diagnostica,1,66,12MINI,DIAGNOTICO HARD OLED,HAODE,"$1,300 MXN / $1,250 MXN / $1,200 MXN / $1,150 MXN / $1,050 MXN",,p1 r66: 12MINI | DIAGNOTICO HARD OLED
iphone-diagnostica,1,67,13,DIAGNOTICO SOFT OLED,HAODE,"$1,200 MXN / $1,050 MXN / $1,100 MXN / $1,050 MXN / $1,000 MXN",Tamaño original,p1 r67: 13 | DIAGNOTICO SOFT OLED
