priority,issue_type,surface,id,category,name,current_price,price_list_price,price_list_source,recommended_action,boss_decision,notes
P0,app_price_mismatch,app,iphone-incell-16e,Pantallas iPhone INCELL,Pantalla para iPhone 16e,$300 MXN / $280 MXN,$400 MXN / $380 MXN,p1 r46: 16E | INCELL FHD,老板确认后同步 APP 价格,,会影响 APP 商品卡、购物车和 WhatsApp 报价
P0,web_price_mismatch,web,iphone-incell-14,iphone-incell,Pantalla para iPhone 14,$800 MXN / $750 MXN / $700 MXN / $600 MXN / $550 MXN,$260 MXN / $250 MXN / $245 MXN / $240 MXN / $230 MXN,p1 r28: 14 | INCELL FHD,老板确认后同步官网产品价格,,会影响静态详情页、JSON-LD price、搜索结构化数据
P0,web_price_mismatch,web,iphone-incell-14plus,iphone-incell,Pantalla para iPhone 14 Plus,$800 MXN / $750 MXN / $700 MXN / $600 MXN / $550 MXN,$300 MXN / $290 MXN / $280 MXN / $275 MXN / $265 MXN,p1 r31: 14 plus | INCELL FHD,老板确认后同步官网产品价格,,会影响静态详情页、JSON-LD price、搜索结构化数据
P1,app_price_mismatch,app,aimb-g5-ai-sports,Gafas AI,AIMB-G5 AI SPORTS,"$1,800 MXN / $1,400 MXN","$1,800 MXN / $1,600 MXN",p3 r26: Gafas AI G5 | GAFAS AI,老板确认后同步 APP 价格,,会影响 APP 商品卡、购物车和 WhatsApp 报价
P1,app_price_mismatch,app,funda-premium-17-pro-max,Fundas,Funda Premium Aluminio,$85 MXN / $75 MXN,$85 MXN / $70 MXN,p3 r18: KIT ALUMINIO DE 17PROMAX CON LOGO | KIT ALUMINIO DE 17PROMAX CON LOGO,老板确认后同步 APP 价格,,会影响 APP 商品卡、购物车和 WhatsApp 报价
P1,app_price_mismatch,app,haode-ai-g3-smart-glasses,Gafas AI,Gafas Inteligentes AI G3,"$1,700 MXN / $1,300 MXN","$1,700 MXN / $1,500 MXN",p3 r29: Gafas AI G3 | GAFAS AI,老板确认后同步 APP 价格,,会影响 APP 商品卡、购物车和 WhatsApp 报价
P1,app_price_mismatch,app,haode-ai-w610-smart-glasses,Gafas AI,Gafas Inteligentes AI W610,"$1,800 MXN / $1,500 MXN","$1,500 MXN / $1,200 MXN",p3 r28: Gafas AI W610 | GAFAS AI,老板确认后同步 APP 价格,,会影响 APP 商品卡、购物车和 WhatsApp 报价
P1,app_price_mismatch,app,iphone-incell-11pro,Pantallas iPhone INCELL,Pantalla para iPhone 11 Pro,$200 MXN / $195 MXN,$200 MXN / $190 MXN,p1 r11: 11PRO | INCELL FHD,老板确认后同步 APP 价格,,会影响 APP 商品卡、购物车和 WhatsApp 报价
P1,app_price_mismatch,app,iphone-oled-12promax,Pantallas iPhone OLED,Pantalla para iPhone 12 Pro Max,$850 MXN / $830 MXN,$700 MXN / $680 MXN,p1 r20: 12PRO MAX | OLED PREMIUM,老板确认后同步 APP 价格,,会影响 APP 商品卡、购物车和 WhatsApp 报价
P1,app_price_mismatch,app,iphone-oled-13,Pantallas iPhone OLED,Pantalla para iPhone 13,$730 MXN / $720 MXN,$730 MXN / $700 MXN,p1 r23: 13 | OLED PREMIUM,老板确认后同步 APP 价格,,会影响 APP 商品卡、购物车和 WhatsApp 报价
P1,app_price_mismatch,app,iphone-oled-13pro,Pantallas iPhone OLED,Pantalla para iPhone 13 Pro,$800 MXN / $780 MXN,$780 MXN / $760 MXN,p1 r25: 13PRO | OLED PREMIUM,老板确认后同步 APP 价格,,会影响 APP 商品卡、购物车和 WhatsApp 报价
P1,app_price_mismatch,app,iphone-oled-13promax,Pantallas iPhone OLED,Pantalla para iPhone 13 Pro Max,$900 MXN / $850 MXN,$800 MXN / $780 MXN,p1 r27: 13PRO MAX | OLED PREMIUM,老板确认后同步 APP 价格,,会影响 APP 商品卡、购物车和 WhatsApp 报价
